,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,true_label,predicted_proba,predicted_label,confidence,age_group,confidence_band
14109,0.0,47,0,0.857734609,7000.0,10,0,5,0,0.0,0,0.0948799192905426,0,0.9051200807094574,40-60,"(0.9, 0.95]"
149336,0.280634271,38,0,5725.0,,8,0,2,0,3.0,0,0.018432285636663437,0,0.9815677143633366,25-40,"(0.95, 1.0]"
122322,0.093200479,50,0,0.579488644,7000.0,12,0,4,0,0.0,0,0.03508183136582375,0,0.9649181686341762,40-60,"(0.95, 1.0]"
132780,0.156286582,61,0,1090.0,,4,0,2,0,,0,0.008992570731788874,0,0.9910074292682112,60+,"(0.95, 1.0]"
119975,0.751730621,48,5,0.308338332,1666.0,13,0,0,0,2.0,1,0.3178655356168747,0,0.6821344643831253,40-60,"(0.6, 0.7]"
27512,0.026136217,47,0,0.239458348,5833.0,4,0,2,0,0.0,0,0.0064313904847949745,0,0.993568609515205,40-60,"(0.95, 1.0]"
70352,0.208062838,34,0,0.592202318,2846.0,8,0,1,0,1.0,0,0.02526652403175831,0,0.9747334759682417,25-40,"(0.95, 1.0]"
76212,0.0,67,0,0.194662805,4833.0,6,0,1,0,0.0,0,0.005499490164220333,0,0.9945005098357796,60+,"(0.95, 1.0]"
81713,0.883107089,66,1,0.010964205,3100.0,3,1,0,0,0.0,0,0.27647689878940584,0,0.7235231012105942,60+,"(0.7, 0.8]"
18846,0.111826378,50,0,0.154754762,26667.0,17,0,2,0,2.0,0,0.014189823903143406,0,0.9858101760968566,40-60,"(0.95, 1.0]"
59230,0.763142625,43,1,0.944611078,5000.0,5,0,2,0,0.0,0,0.18784153163433076,0,0.8121584683656693,40-60,"(0.8, 0.85]"
31671,0.083625962,57,0,0.096208076,33333.0,8,0,1,0,2.0,0,0.006380732264369726,0,0.9936192677356303,40-60,"(0.95, 1.0]"
88897,0.189795327,41,3,0.377515703,7800.0,9,0,2,0,0.0,0,0.10789184719324112,0,0.8921081528067589,40-60,"(0.85, 0.9]"
74187,0.66937646,51,0,1.106946225,13258.0,23,0,2,0,2.0,1,0.11869804114103318,0,0.8813019588589668,40-60,"(0.85, 0.9]"
103223,0.059944866,51,0,0.320585726,7033.0,13,0,1,0,0.0,0,0.009171958733350038,0,0.9908280412666499,40-60,"(0.95, 1.0]"
94009,0.053015557,48,0,2937.0,,8,0,1,0,0.0,0,0.006705555226653814,0,0.9932944447733462,40-60,"(0.95, 1.0]"
122319,0.621553829,61,0,0.261819528,8100.0,6,0,1,0,0.0,0,0.024982788413763047,0,0.975017211586237,60+,"(0.95, 1.0]"
74207,0.304695305,44,0,0.013315579,750.0,5,0,0,0,3.0,0,0.04763256907463074,0,0.9523674309253692,40-60,"(0.95, 1.0]"
55182,0.804884832,37,2,0.322413104,5005.0,23,0,0,0,2.0,1,0.30641103982925416,0,0.6935889601707459,25-40,"(0.6, 0.7]"
79178,0.250845198,37,0,0.117024241,10766.0,5,0,0,0,1.0,0,0.012171383388340474,0,0.9878286166116595,25-40,"(0.95, 1.0]"
77665,0.349659153,54,0,0.197951697,13083.0,6,0,1,0,1.0,0,0.011710266210138797,0,0.9882897337898612,40-60,"(0.95, 1.0]"
135311,0.515391553,64,0,0.130322473,12000.0,11,0,2,0,3.0,0,0.028047232143580913,0,0.971952767856419,60+,"(0.95, 1.0]"
36185,0.078656149,43,0,0.140049648,4833.0,6,0,1,0,0.0,0,0.009840061329305172,0,0.9901599386706949,40-60,"(0.95, 1.0]"
17204,0.0,49,0,3471.0,,8,0,2,0,0.0,0,0.015322256647050381,0,0.9846777433529497,40-60,"(0.95, 1.0]"
71757,0.870603996,71,3,0.167847902,26666.0,13,0,3,0,0.0,0,0.10289366766810418,0,0.8971063323318959,60+,"(0.85, 0.9]"
3948,0.952039643,52,0,0.360458453,6979.0,12,0,2,0,1.0,0,0.07953729629516601,0,0.920462703704834,40-60,"(0.9, 0.95]"
63983,0.013802826,60,0,0.294570066,6500.0,6,0,1,0,0.0,0,0.003907392080873251,0,0.9960926079191268,40-60,"(0.95, 1.0]"
14850,0.220486909,46,0,0.919328041,5416.0,10,0,4,0,0.0,0,0.0947014957666397,0,0.9052985042333603,40-60,"(0.9, 0.95]"
97608,0.394438601,81,0,0.332340251,9733.0,22,0,1,0,0.0,0,0.023179964907467366,0,0.9768200350925327,60+,"(0.95, 1.0]"
17383,0.9999999,47,0,0.281644509,8950.0,6,0,1,0,4.0,0,0.05720904022455216,0,0.9427909597754478,40-60,"(0.9, 0.95]"
58496,0.0,29,0,1745.0,,3,0,1,0,0.0,0,0.010092461202293634,0,0.9899075387977063,25-40,"(0.95, 1.0]"
67095,0.108544573,65,0,0.5155992,11506.0,9,0,4,0,0.0,0,0.020312307775020598,0,0.9796876922249794,60+,"(0.95, 1.0]"
55639,0.0,56,0,0.257942679,4500.0,10,0,2,0,0.0,0,0.012171383388340474,0,0.9878286166116595,40-60,"(0.95, 1.0]"
6906,0.9999999,49,0,0.39734448,4066.0,5,0,1,0,0.0,0,0.0657497875392437,0,0.9342502124607563,40-60,"(0.9, 0.95]"
46916,0.108615297,25,0,34.0,,3,0,0,0,0.0,0,0.02033142689615488,0,0.9796685731038451,<25,"(0.95, 1.0]"
143526,0.402797595,62,0,0.332039994,6700.0,9,0,1,0,0.0,0,0.018201814591884614,0,0.9817981854081154,60+,"(0.95, 1.0]"
64531,0.968531263,50,0,0.403285323,8400.0,8,0,1,0,0.0,0,0.05943046659231186,0,0.9405695334076881,40-60,"(0.9, 0.95]"
148303,0.027606785,74,0,0.0029997,10000.0,5,0,0,0,0.0,0,0.0033553572371602058,0,0.9966446427628398,60+,"(0.95, 1.0]"
140781,0.481839934,63,0,1705.0,,7,0,1,0,,0,0.01385170891880989,0,0.9861482910811901,60+,"(0.95, 1.0]"
35284,0.019670573,80,0,0.016431925,2555.0,24,0,0,0,0.0,0,0.009359754994511605,0,0.9906402450054884,60+,"(0.95, 1.0]"
126260,0.482744749,34,0,932.0,,4,0,0,0,1.0,0,0.0418873205780983,0,0.9581126794219017,25-40,"(0.95, 1.0]"
142121,0.048889462,52,0,0.456939652,14200.0,22,0,5,0,3.0,0,0.05144475102424621,0,0.9485552489757538,40-60,"(0.9, 0.95]"
85437,0.022104988,71,0,0.015240734,8660.0,12,0,0,0,1.0,0,0.005631806282326579,0,0.9943681937176734,60+,"(0.95, 1.0]"
99764,0.390095248,33,0,0.432369038,3836.0,7,0,0,0,2.0,0,0.035859571397304536,0,0.9641404286026954,25-40,"(0.95, 1.0]"
103236,0.161780899,56,0,0.400916297,13750.0,9,0,2,0,1.0,0,0.010704036429524421,0,0.9892959635704756,40-60,"(0.95, 1.0]"
53112,0.218751611,61,0,0.114352696,3838.0,7,0,0,0,0.0,0,0.014641790091991425,0,0.9853582099080086,60+,"(0.95, 1.0]"
29137,0.294958067,49,0,0.32254071,10500.0,10,0,1,0,3.0,0,0.01960992217063904,0,0.9803900778293609,40-60,"(0.95, 1.0]"
135729,0.174482552,28,0,26.0,1.0,1,0,0,0,0.0,0,0.010898529924452305,0,0.9891014700755477,25-40,"(0.95, 1.0]"
81168,0.053966541,46,0,2533.0,0.0,4,0,2,0,3.0,0,0.009060103446245193,0,0.9909398965537548,40-60,"(0.95, 1.0]"
103287,0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,1,0.032867088168859485,0,0.9671329118311405,25-40,"(0.95, 1.0]"
96582,0.262274315,62,0,0.563700298,7393.0,10,0,2,0,0.0,0,0.016278811544179917,0,0.9837211884558201,60+,"(0.95, 1.0]"
50429,0.156035441,51,0,0.542246618,5100.0,9,0,1,0,5.0,0,0.02444746047258377,0,0.9755525395274163,40-60,"(0.95, 1.0]"
59090,0.817265433,48,4,1.464927143,2950.0,19,0,1,3,3.0,0,0.6113989114761352,1,0.6113989114761352,40-60,"(0.6, 0.7]"
21485,0.023405477,66,0,0.021654636,1800.0,5,0,0,0,0.0,0,0.00455266903154552,0,0.9954473309684545,60+,"(0.95, 1.0]"
128926,0.734033481,65,0,3793.0,,22,0,2,0,0.0,0,0.05223297253251076,0,0.9477670274674892,60+,"(0.9, 0.95]"
141396,0.088098478,54,0,2293.0,,5,0,1,0,0.0,0,0.003924144990742206,0,0.9960758550092578,40-60,"(0.95, 1.0]"
10827,0.603688684,38,0,0.112531969,4300.0,7,0,0,0,0.0,0,0.049135462194681165,0,0.9508645378053189,25-40,"(0.95, 1.0]"
100784,0.77420685,45,0,0.442702051,5802.0,7,0,2,0,1.0,0,0.06353786215186119,0,0.9364621378481388,40-60,"(0.9, 0.95]"
76813,0.961759306,55,2,0.367873723,5384.0,7,0,1,1,2.0,1,0.3176153302192688,0,0.6823846697807312,40-60,"(0.6, 0.7]"
15403,0.139426358,48,0,0.358185279,9455.0,8,0,2,0,1.0,0,0.012423428148031235,0,0.9875765718519688,40-60,"(0.95, 1.0]"
130012,0.0,45,1,0.069451884,5600.0,9,0,0,0,2.0,0,0.039748864620923995,0,0.960251135379076,40-60,"(0.95, 1.0]"
94564,0.902403496,49,1,3032.0,,7,0,2,0,0.0,0,0.15869402289390563,0,0.8413059771060943,40-60,"(0.8, 0.85]"
90404,0.8898535,30,0,0.071185763,5000.0,3,1,0,0,0.0,0,0.28117131590843203,0,0.718828684091568,25-40,"(0.7, 0.8]"
85082,0.048439554,63,0,1075.0,0.0,10,0,2,0,0.0,0,0.009171958733350038,0,0.9908280412666499,60+,"(0.95, 1.0]"
92949,0.064090336,57,0,3754.0,,8,0,1,0,0.0,0,0.004265265539288521,0,0.9957347344607115,40-60,"(0.95, 1.0]"
98785,0.424336436,25,0,0.077163386,3200.0,6,0,0,0,2.0,0,0.06007743403315544,0,0.9399225659668445,<25,"(0.9, 0.95]"
32667,0.0,28,0,15.14285714,160.0,5,0,1,0,0.0,0,0.009107355121523142,0,0.9908926448784768,25-40,"(0.95, 1.0]"
40108,0.9999999,52,0,0.0,3932.0,0,0,0,0,0.0,0,0.12264469712972641,0,0.8773553028702736,40-60,"(0.85, 0.9]"
19074,1.185628743,33,2,0.111083622,4041.0,3,0,0,1,0.0,1,0.4405301511287689,0,0.5594698488712311,25-40,"(0.5, 0.6]"
83775,0.0,61,0,14.0,,3,0,0,0,,0,0.008804600778967142,0,0.9911953992210328,60+,"(0.95, 1.0]"
98378,0.054987733,37,1,0.230153969,5000.0,14,0,1,0,0.0,0,0.04189695566892624,0,0.9581030443310737,25-40,"(0.95, 1.0]"
90450,0.919566561,53,0,0.39728636,4200.0,5,0,2,0,4.0,0,0.07495435327291489,0,0.9250456467270851,40-60,"(0.9, 0.95]"
108802,0.9999999,64,0,0.15696649,1700.0,3,0,0,0,0.0,0,0.04330730736255646,0,0.9566926926374435,60+,"(0.95, 1.0]"
93355,0.232592247,58,0,0.345239874,6690.0,6,0,2,0,1.0,0,0.010760563798248768,0,0.9892394362017513,40-60,"(0.95, 1.0]"
99322,0.0251146,50,0,70.0,,7,0,0,0,0.0,0,0.011341674998402596,0,0.9886583250015974,40-60,"(0.95, 1.0]"
39643,0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,1,0.5120806455612182,1,0.5120806455612182,40-60,"(0.5, 0.6]"
67306,0.310761487,37,0,0.491215575,4211.0,6,0,1,0,0.0,0,0.025368554145097734,0,0.9746314458549022,25-40,"(0.95, 1.0]"
30855,0.9770023,49,0,0.079529494,5695.0,2,0,0,0,2.0,0,0.09094028174877167,0,0.9090597182512283,40-60,"(0.9, 0.95]"
105747,0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1,0.032867088168859485,0,0.9671329118311405,25-40,"(0.95, 1.0]"
134102,0.192085096,61,0,0.362802768,5779.0,12,0,1,0,0.0,0,0.012229511141777038,0,0.9877704888582229,60+,"(0.95, 1.0]"
105142,0.0,35,0,0.963318478,2916.0,4,0,1,0,1.0,0,0.018853942677378655,0,0.9811460573226214,25-40,"(0.95, 1.0]"
70751,0.368678061,34,0,0.458308338,5000.0,8,0,2,0,0.0,0,0.03452736400067806,0,0.965472635999322,25-40,"(0.95, 1.0]"
134775,0.769230769,48,2,0.292693859,6692.0,6,1,2,1,2.0,0,0.422395783662796,0,0.5776042163372039,40-60,"(0.5, 0.6]"
114681,0.015756061,66,0,0.014985015,1000.0,9,0,0,0,0.0,0,0.011407432891428471,0,0.9885925671085716,60+,"(0.95, 1.0]"
57472,0.641296961,34,1,0.149709499,7400.0,6,0,0,0,1.0,0,0.10457045286893844,0,0.8954295471310616,25-40,"(0.85, 0.9]"
97643,0.053389322,45,0,0.064565279,10500.0,2,0,1,0,0.0,0,0.004515372635796666,0,0.9954846273642033,40-60,"(0.95, 1.0]"
29660,0.036110633,45,0,0.075955491,6200.0,11,0,0,0,4.0,0,0.012071077153086663,0,0.9879289228469134,40-60,"(0.95, 1.0]"
23970,0.071783151,66,0,0.016995751,4000.0,5,0,0,0,0.0,0,0.007099676318466664,0,0.9929003236815334,60+,"(0.95, 1.0]"
4141,0.568847926,49,0,0.163307412,6300.0,5,0,1,0,0.0,0,0.040251970291137695,0,0.9597480297088623,40-60,"(0.95, 1.0]"
23882,0.132435794,48,0,4697.0,,8,0,2,0,0.0,0,0.013362644799053669,0,0.9866373552009463,40-60,"(0.95, 1.0]"
25042,0.05326617,77,1,0.547745225,10000.0,23,0,4,0,0.0,0,0.06596753299236298,0,0.934032467007637,60+,"(0.9, 0.95]"
138764,0.083521141,51,1,0.206932673,10500.0,14,0,2,0,0.0,0,0.03749723359942436,0,0.9625027664005756,40-60,"(0.95, 1.0]"
46847,0.457318613,68,4,0.560710402,8276.0,18,1,1,0,0.0,0,0.4106259524822235,0,0.5893740475177764,60+,"(0.5, 0.6]"
139715,0.01919904,68,0,11.0,,1,0,0,0,0.0,0,0.003907392080873251,0,0.9960926079191268,60+,"(0.95, 1.0]"
52945,0.939716567,54,2,0.058736394,60081.0,9,0,2,0,1.0,0,0.2090113192796707,0,0.7909886807203292,40-60,"(0.7, 0.8]"
18305,0.014516809,66,1,0.542462146,6075.0,10,0,1,0,0.0,0,0.02350241132080555,0,0.9764975886791945,60+,"(0.95, 1.0]"
15421,0.085900671,70,1,55.0,,9,0,0,0,0.0,0,0.033173440396785735,0,0.9668265596032143,60+,"(0.95, 1.0]"
148631,0.897422409,31,1,0.182457592,2416.0,4,0,0,0,0.0,0,0.16233706772327422,0,0.8376629322767257,25-40,"(0.8, 0.85]"
36315,0.820876746,54,0,0.410346389,8833.0,8,0,1,0,0.0,0,0.05263364985585213,0,0.9473663501441478,40-60,"(0.9, 0.95]"
117045,0.012911613,70,0,0.207798498,8257.0,10,0,1,0,0.0,0,0.003947504796087742,0,0.9960524952039123,60+,"(0.95, 1.0]"
96131,0.011052665,60,0,0.116873412,6690.0,5,0,1,0,0.0,0,0.003395469952374697,0,0.9966045300476253,40-60,"(0.95, 1.0]"
37547,0.0,58,0,0.067784149,6800.0,5,0,1,0,0.0,0,0.004931622324511409,0,0.9950683776754886,40-60,"(0.95, 1.0]"
36658,0.546625459,40,1,0.098308891,14250.0,4,1,0,0,0.0,1,0.1924583613872528,0,0.8075416386127472,25-40,"(0.8, 0.85]"
100074,0.517048812,72,0,0.465001934,18100.0,22,0,4,0,3.0,0,0.04921413362026215,0,0.9507858663797378,60+,"(0.95, 1.0]"
25436,0.01789293,57,0,0.222105263,4749.0,11,0,1,0,3.0,0,0.009840061329305172,0,0.9901599386706949,40-60,"(0.95, 1.0]"
140741,0.006467787,47,0,0.479912743,5500.0,13,0,2,0,2.0,0,0.010351685434579849,0,0.9896483145654201,40-60,"(0.95, 1.0]"
92153,0.04052138,58,0,0.520238885,4520.0,14,0,2,0,0.0,0,0.012134955637156964,0,0.9878650443628431,40-60,"(0.95, 1.0]"
60191,0.003442034,80,0,0.000864304,3470.0,3,0,0,0,0.0,0,0.0021466051694005728,0,0.9978533948305994,60+,"(0.95, 1.0]"
81288,0.00836498,79,0,0.004461538,6499.0,13,0,0,0,0.0,0,0.0057214376982301475,0,0.9942785623017698,60+,"(0.95, 1.0]"
68680,0.0,65,0,1431.0,,6,0,2,0,0.0,0,0.004515372635796666,0,0.9954846273642033,60+,"(0.95, 1.0]"
94139,0.34727369,40,0,0.240093527,8125.0,8,0,2,0,0.0,0,0.01837827917188406,0,0.9816217208281159,25-40,"(0.95, 1.0]"
72108,0.02147771,64,0,0.016029923,3742.0,7,0,0,0,0.0,0,0.007698863837867975,0,0.992301136162132,60+,"(0.95, 1.0]"
147711,0.0,37,3,0.15137829,6420.0,3,1,0,3,3.0,0,0.6598611116409302,1,0.6598611116409302,25-40,"(0.6, 0.7]"
81580,0.0,31,0,181.0,,2,0,0,0,0.0,0,0.016567619889974593,0,0.9834323801100254,25-40,"(0.95, 1.0]"
37716,0.092658008,47,0,2236.0,,7,0,3,0,0.0,0,0.022644318267703058,0,0.9773556817322969,40-60,"(0.95, 1.0]"
12056,0.0,74,0,0.40234375,511.0,7,0,0,0,0.0,0,0.009548818040639163,0,0.9904511819593609,60+,"(0.95, 1.0]"
116619,0.0,88,1,0.0,,5,0,0,0,,0,0.012720332015305758,0,0.9872796679846942,60+,"(0.95, 1.0]"
26365,0.477571147,48,0,0.445079317,13300.0,15,0,4,0,1.0,0,0.05594198927283287,0,0.9440580107271671,40-60,"(0.9, 0.95]"
15473,0.237322721,57,1,0.443962216,11750.0,8,0,2,0,0.0,0,0.031446868926286696,0,0.9685531310737133,40-60,"(0.95, 1.0]"
149593,0.0,33,0,0.173478656,3302.0,4,0,0,0,1.0,0,0.022757730260491372,0,0.9772422697395087,25-40,"(0.95, 1.0]"
136250,0.092840476,40,0,157.0,,9,0,0,0,,0,0.01690630353987217,0,0.9830936964601278,25-40,"(0.95, 1.0]"
31118,0.03788895,52,0,1709.0,,18,0,1,0,0.0,0,0.009504194837063551,0,0.9904958051629364,40-60,"(0.95, 1.0]"
2753,0.203512976,41,0,0.561815106,13596.0,15,0,6,0,0.0,0,0.08980197757482529,0,0.9101980224251747,40-60,"(0.9, 0.95]"
76948,0.086591341,67,0,0.156762984,10416.0,5,0,1,0,0.0,0,0.0030543494038283827,0,0.9969456505961716,60+,"(0.95, 1.0]"
88984,0.518422793,49,0,0.176648581,9583.0,11,0,0,0,0.0,0,0.04926791936159134,0,0.9507320806384086,40-60,"(0.95, 1.0]"
141648,0.106946527,43,0,0.512578616,6041.0,6,0,2,0,1.0,0,0.013415408320724964,0,0.986584591679275,40-60,"(0.95, 1.0]"
72267,0.955888457,60,0,0.486388853,7750.0,10,0,1,0,0.0,0,0.04737988412380219,0,0.9526201158761978,40-60,"(0.95, 1.0]"
47347,0.144080692,63,0,0.239940015,4000.0,3,0,0,0,0.0,0,0.01101260855793953,0,0.9889873914420605,60+,"(0.95, 1.0]"
48861,0.300234988,37,0,0.101022263,42356.0,5,0,2,0,1.0,0,0.015404995158314705,0,0.9845950048416853,25-40,"(0.95, 1.0]"
25701,0.063660642,61,0,892.0,,13,0,1,0,1.0,0,0.008543717581778765,0,0.9914562824182213,60+,"(0.95, 1.0]"
129212,0.063154823,34,0,0.076392361,10000.0,9,0,1,0,0.0,0,0.011364959552884102,0,0.9886350404471159,25-40,"(0.95, 1.0]"
83381,0.9999999,63,0,0.302292076,7634.0,5,0,1,0,0.0,0,0.03292936980724335,0,0.9670706301927566,60+,"(0.95, 1.0]"
149026,0.008246722,76,0,0.002039837,8333.0,6,0,0,0,1.0,0,0.0035834865644574164,0,0.9964165134355426,60+,"(0.95, 1.0]"
31220,0.142861236,53,0,0.250988142,3541.0,4,0,0,0,0.0,0,0.015986540541052818,0,0.9840134594589471,40-60,"(0.95, 1.0]"
147801,0.000154409,64,0,0.246323962,8500.0,15,0,2,0,0.0,0,0.009199103713035584,0,0.9908008962869644,60+,"(0.95, 1.0]"
67721,0.091986601,42,0,0.355755028,8800.0,8,0,2,0,1.0,0,0.011150574684143067,0,0.988849425315857,40-60,"(0.95, 1.0]"
75435,0.007782756,88,0,14.0,,5,0,0,0,0.0,0,0.0030543494038283827,0,0.9969456505961716,60+,"(0.95, 1.0]"
141464,0.023755628,39,0,0.412235106,2500.0,6,0,1,0,0.0,0,0.010760563798248768,0,0.9892394362017513,25-40,"(0.95, 1.0]"
140232,0.134034545,61,0,0.253057851,6049.0,22,0,0,0,0.0,0,0.014827495999634266,0,0.9851725040003657,60+,"(0.95, 1.0]"
41008,0.57691206,48,0,1.295855169,2098.0,15,0,1,0,1.0,0,0.11063463985919952,0,0.8893653601408005,40-60,"(0.85, 0.9]"
108150,0.580529467,60,0,0.352193995,5195.0,4,0,1,0,0.0,0,0.02769339494407177,0,0.9723066050559283,40-60,"(0.95, 1.0]"
7930,0.026839511,54,0,0.190356714,9166.0,13,0,1,0,2.0,0,0.00782826542854309,0,0.9921717345714569,40-60,"(0.95, 1.0]"
40786,0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,1,0.03292936980724335,0,0.9670706301927566,40-60,"(0.95, 1.0]"
35405,0.947744316,44,0,0.383846794,1200.0,5,0,0,0,3.0,0,0.11088583320379257,0,0.8891141667962075,40-60,"(0.85, 0.9]"
114207,0.014576081,53,0,0.210955331,9200.0,9,0,1,0,2.0,0,0.009769817069172858,0,0.9902301829308271,40-60,"(0.95, 1.0]"
37173,0.009498417,33,0,0.146477563,4300.0,6,0,0,0,2.0,0,0.010760563798248768,0,0.9892394362017513,25-40,"(0.95, 1.0]"
96391,0.584284984,34,0,1.477015323,1500.0,9,0,0,0,0.0,0,0.09824043661355972,0,0.9017595633864403,25-40,"(0.9, 0.95]"
136920,0.074482591,44,1,0.569272637,8083.0,9,0,3,0,2.0,0,0.05911319851875305,0,0.9408868014812469,40-60,"(0.9, 0.95]"
101824,0.46474181,73,0,0.042024833,1046.0,4,0,0,0,0.0,0,0.01816351097077131,0,0.9818364890292287,60+,"(0.95, 1.0]"
